"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","Nicobars","2023-10-01","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-09","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-10","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-11","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-12","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-13","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-14","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-15","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-16","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-17","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-21","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-23","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-25","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-26","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-27","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-28","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-29","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-30","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-10-31","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-01","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-09","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-10","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-11","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-12","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-13","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-14","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-15","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-16","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-17","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-21","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-23","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-25","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-26","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-27","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-28","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-29","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-30","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-10-31","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-01","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-09","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-10","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-11","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-12","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-13","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-14","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-15","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-16","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-17","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-21","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-23","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-25","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-26","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-27","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-28","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-29","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-30","2023","10","NA","NRSC VIC MODEL"
"Andaman & Nicobar","South Andamans","2023-10-31","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-01","2023","10","0.4740936706","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-08","2023","10","0.0067698748","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-09","2023","10","0.4655241078","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-10","2023","10","0.0943135884","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-11","2023","10","0.0074468584","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-12","2023","10","3.3974646726","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-13","2023","10","0.0260447202","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-14","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-15","2023","10","0.000562873","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-16","2023","10","0.0001797081","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-17","2023","10","0.0001558315","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-18","2023","10","1.23306E-5","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-21","2023","10","0.0050375392","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-23","2023","10","0.0050397368","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-24","2023","10","0.0002241749","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-25","2023","10","0.0010454921","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-26","2023","10","0.0007764162","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-27","2023","10","0.0003904971","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-28","2023","10","0.0023350029","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-29","2023","10","0.0026700756","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-30","2023","10","0.0035565723","NRSC VIC MODEL"
"Andhra Pradesh","Anantapur","2023-10-31","2023","10","0.0707032254","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-01","2023","10","4.8354887368","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-07","2023","10","0.5716084224","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-08","2023","10","0.5940590266","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-09","2023","10","4.2735257219","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-10","2023","10","6.7610404763","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-11","2023","10","7.0048875881","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-12","2023","10","0.0003205853","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-13","2023","10","5.23026E-5","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-14","2023","10","0.0440450029","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-15","2023","10","0.4017125387","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-16","2023","10","0.0216244398","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-17","2023","10","0.1430671105","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-18","2023","10","0.0016650234","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-21","2023","10","0.189128554","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-23","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-25","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-26","2023","10","2.6919E-6","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-27","2023","10","8.7571E-5","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-28","2023","10","0.0016345081","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-29","2023","10","1.4458342321","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-30","2023","10","0.38379177","NRSC VIC MODEL"
"Andhra Pradesh","Chittoor","2023-10-31","2023","10","2.5243973152","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-01","2023","10","5.9143609116","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-08","2023","10","0.0004239528","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-09","2023","10","1.5908603187","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-10","2023","10","0.7298363373","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-11","2023","10","0.1801160229","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-12","2023","10","0.5590189993","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-13","2023","10","0.0495613605","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-14","2023","10","0.0011980564","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-15","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-16","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-17","2023","10","4.981E-6","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-21","2023","10","0.0479261915","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-23","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-25","2023","10","0.000794439","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-26","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-27","2023","10","0.2266949874","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-28","2023","10","0.1463078631","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-29","2023","10","0.8814848314","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-30","2023","10","0.0624226184","NRSC VIC MODEL"
"Andhra Pradesh","East Godavari","2023-10-31","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-01","2023","10","11.9255820841","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-07","2023","10","3.73887E-5","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-09","2023","10","0.0269964799","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-10","2023","10","0.0046412874","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-11","2023","10","0.4585283128","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-12","2023","10","0.0158305806","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-13","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-14","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-15","2023","10","0.0050761877","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-16","2023","10","0.0723393645","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-17","2023","10","3.13907E-5","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-21","2023","10","0.0940289436","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-23","2023","10","0.0007846365","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-25","2023","10","0.0008070035","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-26","2023","10","0.0007551264","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-27","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-28","2023","10","0.1193223676","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-29","2023","10","0.0397542204","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-30","2023","10","0.2405932015","NRSC VIC MODEL"
"Andhra Pradesh","Guntur","2023-10-31","2023","10","0.0829986117","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-01","2023","10","3.453950354","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-07","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-08","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-09","2023","10","0.392665721","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-10","2023","10","1.1337994722","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-11","2023","10","7.3728849825","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-12","2023","10","0.0042582936","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-13","2023","10","0.0028115244","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-14","2023","10","0.1486582343","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-15","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-16","2023","10","0.0786205464","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-17","2023","10","0.0038568479","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-18","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-21","2023","10","0.6659148077","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-23","2023","10","7.9934E-6","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-24","2023","10","NA","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-25","2023","10","0.0003443352","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2023-10-26","2023","10","0.0040802129","NRSC VIC MODEL"
